OpportunityId,Name,Subject,Country,SalesUnitId,ADUCategory,Product_Family,Application,Owner,Prognosis,PrognosisDate,ProbabilityId,ProcessName,ADUOpportunityType,SegmentId,ADUEndCustomer,ADULifeOfProject,ADUEstimatedPriceEndCustomer,ADUPiecePotential,annualTotal,ADUCommentsPMLocalValidation,AduLevelOfComplexity,ADUStrategicCustomer,AduPriorityMarket,Date_Created,OPENEDDATE,Opportunity_Number,PROGNOSISDAYS,DATAAREAID,ESTIMATEDREVENUE
OP-007389,SERAP,SERAP / Clavier OptiWash RL20,France,OUEST,1-KEYBOARD,1-KEYBOARD,agm,Sales Person 6,12 months,2/8/20,30,CPI,CPI,AgM,Other,5,15.0,2200,33000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,2/13/19 0:00,2/13/19,OP-007389,360,fr02,20000
OP-007390,SAPELEM,Sapelem / Clavier ELS-M - V3,France,OUEST,1-KEYBOARD,1-KEYBOARD,mah,Sales Person 6,12 months,2/8/20,30,CPI,CPI,Other applications,Other,10,10.0,200,2000.0,No additional comments.,Level 1 - No product modification,No,Standard,2/13/19 0:00,2/13/19,OP-007390,360,fr02,5000
OP-007391,CCCA,IL - KAHANE - ELBIT - 12246AD2G-5X1111-01,Israël,EXPORT2,4-12000,1-SWITCH,dge,Sales Person 3,6 months,8/13/19,90,SpecialPrice,SP,DgE,ELBIT,0,0.0,300,0.0,No additional comments.,Unknown,No,Non Strategic,2/14/19 0:00,2/14/19,OP-007391,180,fr02,3000
OP-007392,ELTRONIKA,PL/UKR - Eltronika - SE Bordnetze - CPB+400mm+conn.,Poland,EXPORT2,4-CP,1-SWITCH,internal electr. system for employees,Sales Person 5,1 month,3/16/19,10,CPI,CPI,Indirect Sales,SE Bordnetze,2,17.0,500,8500.0,No additional comments.,Level 1 - No product modification,No,Non Strategic,2/14/19 0:00,2/14/19,OP-007392,30,fr02,8500
OP-005943,S.P.S. BV,Q8R1CXXG220E,Netherlands,BE-SOUTH-EAST,2-Panel mount,1-Indicator,unkown,Sales Person 20,<  1 month,3/9/18,30,Quotation,Quote,Other Electr. Appli,Other,0,2.42,11000,0.0,No additional comments.,Unknown,No,Non Strategic,2/22/18 0:00,2/22/18,OP-005943,15,fr02,31760
OP-005944,APEM INC,DRS: IZ Colerette rabaissée,United States,SUBSIDIARY,1-SWITCH,1-SWITCH,other,Sales Person 14,9 months,11/19/18,20,CPI,CPI,DgE,DRS Technologies,2,8.0,20000,160000.0,No additional comments.,Level 3 - Heavy product modification,No,Standard,2/22/18 0:00,2/22/18,OP-005944,270,fr02,100000
OP-005946,BIRD CONTROL GROUP,IPP3FAD2 with I/0 marking + Molex connector,Netherlands,BE-NORTH,4-IP,1-SWITCH,agrilaser for birds,Sales Person 21,1 month,3/25/18,50,Quotation,Quote,Other Electr. Appli,Other,0,4.95,2500,0.0,No additional comments.,Unknown,No,Non Strategic,2/23/18 0:00,2/23/18,OP-005946,30,fr02,12000
OP-005947,MAKEEN ENERGY FRANCE,"Interrupteurs A02, A01 et A1 + connecteur M12",France,CENTRE_IDF_1/2_EST,1-SWITCH,1-SWITCH,other,Sales Person 2,1 month,3/25/18,30,CPICC,CPI,Ind. Automation,Other,5,20.0,1000,20000.0,"Received 13/03/18
Please quote the following 
1/ M12 connector code A + 20 cms of câble for the following part numbers :
==> A029307 + A02503 (with end cap 14-0005)
==> A01ES-DSP3 + A0154B-D
==> A01ES-D + A0154B-D
2/ M12 connector code A + 20 cms of câble soldered and protected by heatshrink sleeves for the following part number :
==> A1PCB1Y22003
3/ 2x M12 connector code A + 20 cms of câble and end cap 14-005 for the following part numbers :
==> A029303 + A02503",Unknown,No,Non Strategic,2/23/18 0:00,2/23/18,OP-005947,30,fr02,20000
OP-007397,U-SHIN FRANCE SAS,MOD 521 prototypes RSC02 L/R,France,FRANCE,1-AUTOMOTIVE,1-AUTOMOTIVE,other,Sales Person 18,1 month,3/16/19,10,CPI,CPI,Automotive,Other,1,3.0,100000,300000.0,No additional comments.,Level 4 - Customized product,No,Non Strategic,2/14/19 0:00,2/14/19,OP-007397,30,fr02,500
OP-005948,OMNI RAY AG,wire corrections,Switzerland,DE-CH,1-SWITCH,1-SWITCH,train traffic,Sales Person 35,<  1 month,3/10/18,90,CPI,CPI,Indirect Sales,Schweizer Electronic,10,44.0,200,8800.0,No additional comments.,Level 2 - Minor product modification,No,Standard,2/23/18 0:00,2/23/18,OP-005948,15,fr02,28
OP-007400,ELTRONIKA,PL - Eltronika - PKC Group - ISR3Z1AD900,Poland,EXPORT2,4-IB/IS,1-SWITCH,sous-traitant câblage,Sales Person 5,1 month,3/17/19,50,SpecialPrice,SP,Indirect Sales,PKC Group,0,0.0,500,0.0,No additional comments.,Unknown,No,Non Strategic,2/15/19 0:00,2/15/19,OP-007400,30,fr02,1500
OP-007401,AXIMUM,"Aximum / AV3SLD ""piéton""",France,OUEST,1-SWITCH,1-SWITCH,traffic light,Sales Person 6,12 months,2/10/20,30,CPI,CPI,Ind. Automation,Other,5,8.0,2000,16000.0,No additional comments.,Level 3 - Heavy product modification,No,Standard,2/15/19 0:00,2/15/19,OP-007401,360,fr02,30000
OP-007402,SCALEO MEDICAL,CLAVIER 2 TOUCHES POUR LIT,France,SUD_EST,1-KEYBOARD,1-KEYBOARD,medical,Sales Person 10,3 months,5/16/19,70,CPI,CPI,Medical,Other,5,10.0,500,5000.0,No additional comments.,Level 2 - Minor product modification,No,Standard,2/15/19 0:00,2/15/19,OP-007402,90,fr02,5000
OP-005949,DDZY,Véhicule militaire 12146-2VX78 et 302PN-01,France,NORD_1/2_EST,1-SWITCH,1-SWITCH,véhicule militaire,Sales Person 7,12 months,2/18/19,10,Quotation,Quote,DgE,Other,0,100.0,100,0.0,No additional comments.,Unknown,No,Non Strategic,2/23/18 0:00,2/23/18,OP-005949,360,fr02,10000
OP-007404,MELJAC,Composants sans finition poli miroir,France,CENTRE_IDF_1/2_EST,1-SWITCH,1-SWITCH,domestique,Sales Person 2,1 month,3/20/19,30,CPI,CPI,Inst. Cons. Comp,Other,5,5.0,1000,5000.0,No additional comments.,Level 1 - No product modification,No,Standard,2/18/19 0:00,2/18/19,OP-007404,30,fr02,5000
